02.01.2012;MT84MALT011000012345MTLCAST001S;418
03.01.2012;MT84MALT011000012345MTLCAST001S;166
04.01.2012;IE29AIBK93115212345678;35
05.01.2012;IE29AIBK93115212345678;-57
06.01.2012;NL39RABO0300065264;184
06.01.2012;MT84MALT011000012345MTLCAST001S;-480
08.01.2012;DE21700519950000007229;-447
08.01.2012;NL39RABO0300065264;-482
09.01.2012;AT611904300234573201;281
09.01.2012;NL39RABO0300065264;-893
13.01.2012;AT611904300234573201;-428
13.01.2012;NL39RABO0300065264;-719
14.01.2012;DE21700519950000007229;216
15.01.2012;NL39RABO0300065264;677
16.01.2012;IE29AIBK93115212345678;-176
17.01.2012;NL39RABO0300065264;190
18.01.2012;AT611904300234573201;427
18.01.2012;MT84MALT011000012345MTLCAST001S;457
19.01.2012;MT84MALT011000012345MTLCAST001S;952
20.01.2012;NL39RABO0300065264;-856
23.01.2012;MT84MALT011000012345MTLCAST001S;767
24.01.2012;NL39RABO0300065264;-245
24.01.2012;DE21700519950000007229;303
24.01.2012;DE21700519950000007229;493
25.01.2012;MT84MALT011000012345MTLCAST001S;-156
26.01.2012;MT84MALT011000012345MTLCAST001S;575
27.01.2012;MT84MALT011000012345MTLCAST001S;316
28.01.2012;MT84MALT011000012345MTLCAST001S;-113
28.01.2012;NL39RABO0300065264;54
28.01.2012;DE21700519950000007229;-240
29.01.2012;NL39RABO0300065264;183
29.01.2012;NL39RABO0300065264;542
29.01.2012;AT611904300234573201;-470
29.01.2012;MT84MALT011000012345MTLCAST001S;-98
30.01.2012;IE29AIBK93115212345678;-605
04.02.2012;IE29AIBK93115212345678;998
04.02.2012;IE29AIBK93115212345678;128
07.02.2012;DE21700519950000007229;573
16.02.2012;MT84MALT011000012345MTLCAST001S;-952
20.02.2012;MT84MALT011000012345MTLCAST001S;-353
23.02.2012;IE29AIBK93115212345678;-716
23.02.2012;DE21700519950000007229;-46
25.02.2012;DE21700519950000007229;-150
26.02.2012;DE21700519950000007229;26
26.02.2012;MT84MALT011000012345MTLCAST001S;-589
26.02.2012;MT84MALT011000012345MTLCAST001S;-252
26.02.2012;MT84MALT011000012345MTLCAST001S;-757
27.02.2012;NL39RABO0300065264;-582
28.02.2012;DE21700519950000007229;-809
01.03.2012;DE21700519950000007229;-229
03.03.2012;MT84MALT011000012345MTLCAST001S;180
04.03.2012;MT84MALT011000012345MTLCAST001S;-358
05.03.2012;NL39RABO0300065264;637
05.03.2012;IE29AIBK93115212345678;-871
05.03.2012;IE29AIBK93115212345678;857
07.03.2012;AT611904300234573201;-858
07.03.2012;IE29AIBK93115212345678;854
08.03.2012;AT611904300234573201;-587
08.03.2012;MT84MALT011000012345MTLCAST001S;-958
09.03.2012;IE29AIBK93115212345678;543
09.03.2012;DE21700519950000007229;359
10.03.2012;IE29AIBK93115212345678;-11
10.03.2012;NL39RABO0300065264;671
11.03.2012;DE21700519950000007229;-809
11.03.2012;DE21700519950000007229;375
11.03.2012;MT84MALT011000012345MTLCAST001S;553
12.03.2012;NL39RABO0300065264;-922
13.03.2012;AT611904300234573201;-52
13.03.2012;NL39RABO0300065264;595
14.03.2012;DE21700519950000007229;987
15.03.2012;NL39RABO0300065264;-234
17.03.2012;IE29AIBK93115212345678;323
20.03.2012;DE21700519950000007229;-444
21.03.2012;IE29AIBK93115212345678;951
22.03.2012;NL39RABO0300065264;760
24.03.2012;IE29AIBK93115212345678;-387
26.03.2012;DE21700519950000007229;-999
28.03.2012;IE29AIBK93115212345678;514
28.03.2012;DE21700519950000007229;372
29.03.2012;IE29AIBK93115212345678;-323
29.03.2012;DE21700519950000007229;-668
29.03.2012;AT611904300234573201;-336
30.03.2012;DE21700519950000007229;934
30.03.2012;AT611904300234573201;910
01.04.2012;NL39RABO0300065264;118
02.04.2012;DE21700519950000007229;218
03.04.2012;MT84MALT011000012345MTLCAST001S;-302
04.04.2012;DE21700519950000007229;-270
05.04.2012;AT611904300234573201;77
05.04.2012;NL39RABO0300065264;367
06.04.2012;AT611904300234573201;127
06.04.2012;NL39RABO0300065264;-927
09.04.2012;DE21700519950000007229;-151
13.04.2012;NL39RABO0300065264;-445
13.04.2012;NL39RABO0300065264;980
16.04.2012;MT84MALT011000012345MTLCAST001S;295
20.04.2012;DE21700519950000007229;-204
24.04.2012;NL39RABO0300065264;-666
24.04.2012;IE29AIBK93115212345678;763
24.04.2012;DE21700519950000007229;-229
25.04.2012;NL39RABO0300065264;-51
26.04.2012;IE29AIBK93115212345678;-638
26.04.2012;AT611904300234573201;771
29.04.2012;NL39RABO0300065264;-346
29.04.2012;NL39RABO0300065264;-762
01.05.2012;AT611904300234573201;-745
01.05.2012;DE21700519950000007229;-954
02.05.2012;DE21700519950000007229;-696
